model,module,inherited_model,inherited_module
res.partner,account_sepa_direct_debit,res.partner,test_access_rights
res.partner.bank,account_sepa_direct_debit,res.partner.bank,base
account.batch.payment,account_sepa_direct_debit,account.batch.payment,account_batch_payment
account.move,account_sepa_direct_debit,account.move,printnode_base
account.move.line,account_sepa_direct_debit,account.move.line,account
account.journal,account_sepa_direct_debit,account.journal,account
account.payment,account_sepa_direct_debit,account.payment,account
res.company,account_sepa_direct_debit,res.company,hr_rfid
res.config.settings,account_sepa_direct_debit,res.config.settings,base
res.partner,account_sepa_direct_debit,res.partner,test_access_rights
res.partner.bank,account_sepa_direct_debit,res.partner.bank,base
account.fiscal.position.template,account_taxcloud,account.fiscal.position.template,account
account.fiscal.position,account_taxcloud,account.fiscal.position,account
account.move,account_taxcloud,account.move,printnode_base
account.move.line,account_taxcloud,account.move.line,account
product.template,account_taxcloud,product.template,printnode_base
res.company,account_taxcloud,res.company,hr_rfid
product.category,account_taxcloud,product.category,product
res.config.settings,account_taxcloud,res.config.settings,base
account.fiscal.position.template,account_taxcloud,account.fiscal.position.template,account
account.fiscal.position,account_taxcloud,account.fiscal.position,account
account.move,account_taxcloud,account.move,printnode_base
account.move.line,account_taxcloud,account.move.line,account
product.template,account_taxcloud,product.template,printnode_base
res.company,account_taxcloud,res.company,hr_rfid
product.category,account_taxcloud,product.category,product
res.config.settings,account_taxcloud,res.config.settings,base
account.move.line,account_winbooks_import,account.move.line,account
res.company,account_winbooks_import,res.company,hr_rfid
account.move.line,account_winbooks_import,account.move.line,account
res.company,account_winbooks_import,res.company,hr_rfid
account.online.provider,account_yodlee,account.online.provider,account_online_sync
res.company,account_yodlee,res.company,hr_rfid
account.online.journal,account_yodlee,account.online.journal,account_online_sync
account.online.provider,account_yodlee,account.online.provider,account_online_sync
res.company,account_yodlee,res.company,hr_rfid
account.online.journal,account_yodlee,account.online.journal,account_online_sync
account.analytic.line,analytic_enterprise,account.analytic.line,analytic
account.analytic.line,analytic_enterprise,account.analytic.line,analytic
mail.activity,approvals,mail.activity,mail
mail.activity,approvals,mail.activity,mail
approval.category,approvals_purchase,approval.category,approvals
approval.product.line,approvals_purchase,approval.product.line,approvals
approval.request,approvals_purchase,approval.request,approvals
approval.category,approvals_purchase,approval.category,approvals
approval.product.line,approvals_purchase,approval.product.line,approvals
approval.request,approvals_purchase,approval.request,approvals
approval.product.line,approvals_purchase_stock,approval.product.line,approvals
approval.request,approvals_purchase_stock,approval.request,approvals
approval.product.line,approvals_purchase_stock,approval.product.line,approvals
approval.request,approvals_purchase_stock,approval.request,approvals
base.automation,base_automation_hr_contract,base.automation,base_automation
base.automation,base_automation_hr_contract,base.automation,base_automation
crm.lead,crm_enterprise,crm.lead,crm
crm.activity.report,crm_enterprise,crm.activity.report,crm
crm.lead,crm_enterprise,crm.lead,crm
crm.activity.report,crm_enterprise,crm.activity.report,crm
res.company,currency_rate_live,res.company,hr_rfid
res.config.settings,currency_rate_live,res.config.settings,base
res.company,currency_rate_live,res.company,hr_rfid
res.config.settings,currency_rate_live,res.config.settings,base
res.partner,data_merge,res.partner,test_access_rights
res.partner,data_merge,res.partner,test_access_rights
crm.lead,data_merge_crm,crm.lead,crm
crm.lead,data_merge_crm,crm.lead,crm
delivery.carrier,delivery_bpost,delivery.carrier,website_sale_delivery
product.packaging,delivery_bpost,product.packaging,product
delivery.carrier,delivery_bpost,delivery.carrier,website_sale_delivery
product.packaging,delivery_bpost,product.packaging,product
delivery.carrier,delivery_dhl,delivery.carrier,website_sale_delivery
product.packaging,delivery_dhl,product.packaging,product
delivery.carrier,delivery_dhl,delivery.carrier,website_sale_delivery
product.packaging,delivery_dhl,product.packaging,product
delivery.carrier,delivery_easypost,delivery.carrier,website_sale_delivery
product.packaging,delivery_easypost,product.packaging,product
stock.picking,delivery_easypost,stock.picking,printnode_base
delivery.carrier,delivery_easypost,delivery.carrier,website_sale_delivery
product.packaging,delivery_easypost,product.packaging,product
stock.picking,delivery_easypost,stock.picking,printnode_base
delivery.carrier,delivery_fedex,delivery.carrier,website_sale_delivery
product.packaging,delivery_fedex,product.packaging,product
delivery.carrier,delivery_fedex,delivery.carrier,website_sale_delivery
product.packaging,delivery_fedex,product.packaging,product
iot.device,delivery_iot,iot.device,iot
stock.picking.type,delivery_iot,stock.picking.type,stock
stock.picking,delivery_iot,stock.picking,printnode_base
choose.delivery.package,delivery_iot,choose.delivery.package,delivery
iot.device,delivery_iot,iot.device,iot
stock.picking.type,delivery_iot,stock.picking.type,stock
stock.picking,delivery_iot,stock.picking,printnode_base
choose.delivery.package,delivery_iot,choose.delivery.package,delivery
delivery.carrier,delivery_ups,delivery.carrier,website_sale_delivery
product.packaging,delivery_ups,product.packaging,product
res.partner,delivery_ups,res.partner,test_access_rights
sale.order,delivery_ups,sale.order,printnode_base
delivery.carrier,delivery_ups,delivery.carrier,website_sale_delivery
product.packaging,delivery_ups,product.packaging,product
res.partner,delivery_ups,res.partner,test_access_rights
sale.order,delivery_ups,sale.order,printnode_base
delivery.carrier,delivery_usps,delivery.carrier,website_sale_delivery
delivery.carrier,delivery_usps,delivery.carrier,website_sale_delivery
ir.attachment,documents,ir.attachment,base
mail.activity.type,documents,mail.activity.type,mail
mail.activity,documents,mail.activity,mail
res.partner,documents,res.partner,test_access_rights
ir.attachment,documents,ir.attachment,base
mail.activity.type,documents,mail.activity.type,mail
mail.activity,documents,mail.activity,mail
res.partner,documents,res.partner,test_access_rights
account.move,documents_account,account.move,printnode_base
account.move.line,documents_account,account.move.line,account
account.reconciliation.widget,documents_account,account.reconciliation.widget,account_accountant
account.reconcile.model,documents_account,account.reconcile.model,account
ir.attachment,documents_account,ir.attachment,base
res.company,documents_account,res.company,hr_rfid
res.config.settings,documents_account,res.config.settings,base
documents.workflow.rule,documents_account,documents.workflow.rule,documents
account_reports.export.wizard,documents_account,account_reports.export.wizard,account_reports
account.move,documents_account,account.move,printnode_base
account.move.line,documents_account,account.move.line,account
account.reconciliation.widget,documents_account,account.reconciliation.widget,account_accountant
account.reconcile.model,documents_account,account.reconcile.model,account
ir.attachment,documents_account,ir.attachment,base
res.company,documents_account,res.company,hr_rfid
res.config.settings,documents_account,res.config.settings,base
documents.workflow.rule,documents_account,documents.workflow.rule,documents
account_reports.export.wizard,documents_account,account_reports.export.wizard,account_reports
res.company,documents_hr,res.company,hr_rfid
res.config.settings,documents_hr,res.config.settings,base
hr.employee,documents_hr,hr.employee,hr
res.company,documents_hr,res.company,hr_rfid
res.config.settings,documents_hr,res.config.settings,base
hr.employee,documents_hr,hr.employee,hr
res.company,documents_hr_contract,res.company,hr_rfid
res.config.settings,documents_hr_contract,res.config.settings,base
res.company,documents_hr_contract,res.company,hr_rfid
res.config.settings,documents_hr_contract,res.config.settings,base
res.company,documents_hr_payroll,res.company,hr_rfid
res.config.settings,documents_hr_payroll,res.config.settings,base
res.company,documents_hr_payroll,res.company,hr_rfid
res.config.settings,documents_hr_payroll,res.config.settings,base
res.company,documents_hr_recruitment,res.company,hr_rfid
res.config.settings,documents_hr_recruitment,res.config.settings,base
documents.workflow.rule,documents_hr_recruitment,documents.workflow.rule,documents
res.company,documents_hr_recruitment,res.company,hr_rfid
res.config.settings,documents_hr_recruitment,res.config.settings,base
documents.workflow.rule,documents_hr_recruitment,documents.workflow.rule,documents
hr.payroll.281.base.wizard,documents_l10n_be_hr_payroll,hr.payroll.281.base.wizard,l10n_be_hr_payroll
hr.payroll.281.base.wizard,documents_l10n_be_hr_payroll,hr.payroll.281.base.wizard,l10n_be_hr_payroll
l10n.be.withholding.tax.ip.declaration,documents_l10n_be_hr_payroll_273S_274,l10n.be.withholding.tax.ip.declaration,l10n_be_hr_payroll_273S_274
l10n.be.withholding.tax.exemption,documents_l10n_be_hr_payroll_273S_274,l10n.be.withholding.tax.exemption,l10n_be_hr_payroll_273S_274
l10n.be.withholding.tax.ip.declaration,documents_l10n_be_hr_payroll_273S_274,l10n.be.withholding.tax.ip.declaration,l10n_be_hr_payroll_273S_274
l10n.be.withholding.tax.exemption,documents_l10n_be_hr_payroll_273S_274,l10n.be.withholding.tax.exemption,l10n_be_hr_payroll_273S_274
res.company,documents_product,res.company,hr_rfid
res.config.settings,documents_product,res.config.settings,base
documents.workflow.rule,documents_product,documents.workflow.rule,documents
res.company,documents_product,res.company,hr_rfid
res.config.settings,documents_product,res.config.settings,base
documents.workflow.rule,documents_product,documents.workflow.rule,documents
res.company,documents_project,res.company,hr_rfid
res.config.settings,documents_project,res.config.settings,base
documents.workflow.rule,documents_project,documents.workflow.rule,documents
res.company,documents_project,res.company,hr_rfid
res.config.settings,documents_project,res.config.settings,base
documents.workflow.rule,documents_project,documents.workflow.rule,documents
documents.workflow.rule,documents_sign,documents.workflow.rule,documents
documents.workflow.rule,documents_sign,documents.workflow.rule,documents
documents.document,documents_spreadsheet,documents.document,documents
documents.document,documents_spreadsheet,documents.document,documents
event.registration,event_barcode,event.registration,website_event
res.config.settings,event_barcode,res.config.settings,base
event.registration,event_barcode,event.registration,website_event
res.config.settings,event_barcode,res.config.settings,base
event.registration,event_enterprise,event.registration,website_event
event.registration,event_enterprise,event.registration,website_event
digest.digest,helpdesk,digest.digest,digest
res.partner,helpdesk,res.partner,test_access_rights
res.users,helpdesk,res.users,base
digest.digest,helpdesk,digest.digest,digest
res.partner,helpdesk,res.partner,test_access_rights
res.users,helpdesk,res.users,base
helpdesk.ticket,helpdesk_account,helpdesk.ticket,helpdesk_timesheet
account.move.reversal,helpdesk_account,account.move.reversal,account
helpdesk.ticket,helpdesk_account,helpdesk.ticket,helpdesk_timesheet
account.move.reversal,helpdesk_account,account.move.reversal,account
helpdesk.team,helpdesk_fsm,helpdesk.team,website_helpdesk
helpdesk.ticket,helpdesk_fsm,helpdesk.ticket,helpdesk_timesheet
project.task,helpdesk_fsm,project.task,project
helpdesk.team,helpdesk_fsm,helpdesk.team,website_helpdesk
helpdesk.ticket,helpdesk_fsm,helpdesk.ticket,helpdesk_timesheet
project.task,helpdesk_fsm,project.task,project
helpdesk.ticket,helpdesk_repair,helpdesk.ticket,helpdesk_timesheet
repair.order,helpdesk_repair,repair.order,repair
helpdesk.ticket,helpdesk_repair,helpdesk.ticket,helpdesk_timesheet
repair.order,helpdesk_repair,repair.order,repair
helpdesk.ticket,helpdesk_sale,helpdesk.ticket,helpdesk_timesheet
helpdesk.ticket,helpdesk_sale,helpdesk.ticket,helpdesk_timesheet
helpdesk.ticket,helpdesk_sale_coupon,helpdesk.ticket,helpdesk_timesheet
helpdesk.ticket,helpdesk_sale_coupon,helpdesk.ticket,helpdesk_timesheet
helpdesk.team,helpdesk_sale_timesheet,helpdesk.team,website_helpdesk
helpdesk.ticket,helpdesk_sale_timesheet,helpdesk.ticket,helpdesk_timesheet
account.analytic.line,helpdesk_sale_timesheet,account.analytic.line,analytic
helpdesk.team,helpdesk_sale_timesheet,helpdesk.team,website_helpdesk
helpdesk.ticket,helpdesk_sale_timesheet,helpdesk.ticket,helpdesk_timesheet
account.analytic.line,helpdesk_sale_timesheet,account.analytic.line,analytic
account.analytic.line,helpdesk_sale_timesheet_edit,account.analytic.line,analytic
helpdesk.ticket,helpdesk_sale_timesheet_edit,helpdesk.ticket,helpdesk_timesheet
account.analytic.line,helpdesk_sale_timesheet_edit,account.analytic.line,analytic
helpdesk.ticket,helpdesk_sale_timesheet_edit,helpdesk.ticket,helpdesk_timesheet
helpdesk.ticket,helpdesk_stock,helpdesk.ticket,helpdesk_timesheet
stock.return.picking,helpdesk_stock,stock.return.picking,stock
helpdesk.ticket,helpdesk_stock,helpdesk.ticket,helpdesk_timesheet
stock.return.picking,helpdesk_stock,stock.return.picking,stock
account.analytic.line,helpdesk_timesheet,account.analytic.line,analytic
helpdesk.team,helpdesk_timesheet,helpdesk.team,website_helpdesk
project.project,helpdesk_timesheet,project.project,project
account.analytic.line,helpdesk_timesheet,account.analytic.line,analytic
helpdesk.team,helpdesk_timesheet,helpdesk.team,website_helpdesk
project.project,helpdesk_timesheet,project.project,project
calendar.event,hr_appraisal,calendar.event,microsoft_calendar
hr.department,hr_appraisal,hr.department,hr
hr.employee,hr_appraisal,hr.employee,hr
hr.employee.base,hr_appraisal,hr.employee.base,hr
hr.employee.public,hr_appraisal,hr.employee.public,hr
hr.job,hr_appraisal,hr.job,website_hr_recruitment
res.company,hr_appraisal,res.company,hr_rfid
res.config.settings,hr_appraisal,res.config.settings,base
res.users,hr_appraisal,res.users,base
hr.departure.wizard,hr_appraisal,hr.departure.wizard,hr
calendar.event,hr_appraisal,calendar.event,microsoft_calendar
hr.department,hr_appraisal,hr.department,hr
hr.employee,hr_appraisal,hr.employee,hr
hr.employee.base,hr_appraisal,hr.employee.base,hr
hr.employee.public,hr_appraisal,hr.employee.public,hr
hr.job,hr_appraisal,hr.job,website_hr_recruitment
res.company,hr_appraisal,res.company,hr_rfid
res.config.settings,hr_appraisal,res.config.settings,base
res.users,hr_appraisal,res.users,base
hr.departure.wizard,hr_appraisal,hr.departure.wizard,hr
hr.appraisal,hr_appraisal_survey,hr.appraisal,hr_appraisal
res.company,hr_appraisal_survey,res.company,hr_rfid
res.config.settings,hr_appraisal_survey,res.config.settings,base
survey.survey,hr_appraisal_survey,survey.survey,survey
survey.user_input,hr_appraisal_survey,survey.user_input,survey
hr.appraisal,hr_appraisal_survey,hr.appraisal,hr_appraisal
res.company,hr_appraisal_survey,res.company,hr_rfid
res.config.settings,hr_appraisal_survey,res.config.settings,base
survey.survey,hr_appraisal_survey,survey.survey,survey
survey.user_input,hr_appraisal_survey,survey.user_input,survey
hr.applicant,hr_contract_salary,hr.applicant,hr_recruitment
hr.contract,hr_contract_salary,hr.contract,hr_contract
hr.job,hr_contract_salary,hr.job,website_hr_recruitment
hr.payroll.structure.type,hr_contract_salary,hr.payroll.structure.type,hr_contract
res.config.settings,hr_contract_salary,res.config.settings,base
hr.contract.employee.report,hr_contract_salary,hr.contract.employee.report,hr_contract_reports
hr.applicant,hr_contract_salary,hr.applicant,hr_recruitment
hr.contract,hr_contract_salary,hr.contract,hr_contract
hr.job,hr_contract_salary,hr.job,website_hr_recruitment
hr.payroll.structure.type,hr_contract_salary,hr.payroll.structure.type,hr_contract
res.config.settings,hr_contract_salary,res.config.settings,base
hr.contract.employee.report,hr_contract_salary,hr.contract.employee.report,hr_contract_reports
hr.contract.salary.resume,hr_contract_salary_payroll,hr.contract.salary.resume,hr_contract_salary
hr.contract.salary.resume,hr_contract_salary_payroll,hr.contract.salary.resume,hr_contract_salary
hr.expense,hr_expense_extract,hr.expense,hr_expense
hr.expense.sheet,hr_expense_extract,hr.expense.sheet,hr_expense
ir.attachment,hr_expense_extract,ir.attachment,base
res.company,hr_expense_extract,res.company,hr_rfid
res.config.settings,hr_expense_extract,res.config.settings,base
hr.expense,hr_expense_extract,hr.expense,hr_expense
hr.expense.sheet,hr_expense_extract,hr.expense.sheet,hr_expense
ir.attachment,hr_expense_extract,ir.attachment,base
res.company,hr_expense_extract,res.company,hr_rfid
res.config.settings,hr_expense_extract,res.config.settings,base
hr.expense,hr_expense_predict_product,hr.expense,hr_expense
hr.expense,hr_expense_predict_product,hr.expense,hr_expense
hr.leave,hr_holidays_gantt,hr.leave,hr_holidays
hr.leave.report.calendar,hr_holidays_gantt,hr.leave.report.calendar,hr_holidays
hr.leave,hr_holidays_gantt,hr.leave,hr_holidays
hr.leave.report.calendar,hr_holidays_gantt,hr.leave.report.calendar,hr_holidays
hr.contract,hr_payroll,hr.contract,hr_contract
hr.employee,hr_payroll,hr.employee,hr
hr.payroll.structure.type,hr_payroll,hr.payroll.structure.type,hr_contract
hr.work.entry.type,hr_payroll,hr.work.entry.type,hr_work_entry
resource.calendar,hr_payroll,resource.calendar,resource
res.config.settings,hr_payroll,res.config.settings,base
hr.contract,hr_payroll,hr.contract,hr_contract
hr.employee,hr_payroll,hr.employee,hr
hr.payroll.structure.type,hr_payroll,hr.payroll.structure.type,hr_contract
hr.work.entry.type,hr_payroll,hr.work.entry.type,hr_work_entry
resource.calendar,hr_payroll,resource.calendar,resource
res.config.settings,hr_payroll,res.config.settings,base
hr.payslip,hr_payroll_account,hr.payslip,hr_payroll
hr.salary.rule,hr_payroll_account,hr.salary.rule,hr_payroll
hr.contract,hr_payroll_account,hr.contract,hr_contract
hr.payroll.structure,hr_payroll_account,hr.payroll.structure,hr_payroll
hr.payslip,hr_payroll_account,hr.payslip,hr_payroll
hr.salary.rule,hr_payroll_account,hr.salary.rule,hr_payroll
hr.contract,hr_payroll_account,hr.contract,hr_contract
hr.payroll.structure,hr_payroll_account,hr.payroll.structure,hr_payroll
hr.payslip,hr_payroll_account_sepa,hr.payslip,hr_payroll
hr.payslip.run,hr_payroll_account_sepa,hr.payslip.run,hr_payroll
hr.payslip,hr_payroll_account_sepa,hr.payslip,hr_payroll
hr.payslip.run,hr_payroll_account_sepa,hr.payslip.run,hr_payroll
hr.contract,hr_payroll_edit_lines,hr.contract,hr_contract
hr.payslip,hr_payroll_edit_lines,hr.payslip,hr_payroll
hr.payslip.worked_days,hr_payroll_edit_lines,hr.payslip.worked_days,hr_payroll
hr.contract,hr_payroll_edit_lines,hr.contract,hr_contract
hr.payslip,hr_payroll_edit_lines,hr.payslip,hr_payroll
hr.payslip.worked_days,hr_payroll_edit_lines,hr.payslip.worked_days,hr_payroll
hr.expense.sheet,hr_payroll_expense,hr.expense.sheet,hr_expense
hr.payslip,hr_payroll_expense,hr.payslip,hr_payroll
hr.expense.sheet,hr_payroll_expense,hr.expense.sheet,hr_expense
hr.payslip,hr_payroll_expense,hr.payslip,hr_payroll
hr.applicant,hr_referral,hr.applicant,hr_recruitment
hr.recruitment.stage,hr_referral,hr.recruitment.stage,hr_recruitment
hr.job,hr_referral,hr.job,website_hr_recruitment
res.users,hr_referral,res.users,base
hr.recruitment.report,hr_referral,hr.recruitment.report,hr_recruitment_reports
hr.applicant,hr_referral,hr.applicant,hr_recruitment
hr.recruitment.stage,hr_referral,hr.recruitment.stage,hr_recruitment
hr.job,hr_referral,hr.job,website_hr_recruitment
res.users,hr_referral,res.users,base
hr.recruitment.report,hr_referral,hr.recruitment.report,hr_recruitment_reports
hr.contract,hr_work_entry_contract,hr.contract,hr_contract
hr.employee,hr_work_entry_contract,hr.employee,hr
hr.work.entry,hr_work_entry_contract,hr.work.entry,hr_work_entry
hr.work.entry.type,hr_work_entry_contract,hr.work.entry.type,hr_work_entry
hr.contract,hr_work_entry_contract,hr.contract,hr_contract
hr.employee,hr_work_entry_contract,hr.employee,hr
hr.work.entry,hr_work_entry_contract,hr.work.entry,hr_work_entry
hr.work.entry.type,hr_work_entry_contract,hr.work.entry.type,hr_work_entry
hr.contract,hr_work_entry_holidays,hr.contract,hr_contract
hr.leave.type,hr_work_entry_holidays,hr.leave.type,hr_holidays
hr.leave,hr_work_entry_holidays,hr.leave,hr_holidays
hr.work.entry,hr_work_entry_holidays,hr.work.entry,hr_work_entry
hr.work.entry.type,hr_work_entry_holidays,hr.work.entry.type,hr_work_entry
hr.contract,hr_work_entry_holidays,hr.contract,hr_contract
hr.leave.type,hr_work_entry_holidays,hr.leave.type,hr_holidays
hr.leave,hr_work_entry_holidays,hr.leave,hr_holidays
hr.work.entry,hr_work_entry_holidays,hr.work.entry,hr_work_entry
hr.work.entry.type,hr_work_entry_holidays,hr.work.entry.type,hr_work_entry
project.project,industry_fsm,project.project,project
project.task,industry_fsm,project.task,project
res.config.settings,industry_fsm,res.config.settings,base
project.project,industry_fsm,project.project,project
project.task,industry_fsm,project.task,project
res.config.settings,industry_fsm,res.config.settings,base
project.project,industry_fsm_forecast,project.project,project
project.project,industry_fsm_forecast,project.project,project
project.project,industry_fsm_report,project.project,project
project.task,industry_fsm_report,project.task,project
project.task.recurrence,industry_fsm_report,project.task.recurrence,project
project.project,industry_fsm_report,project.project,project
project.task,industry_fsm_report,project.task,project
project.task.recurrence,industry_fsm_report,project.task.recurrence,project
product.product,industry_fsm_sale,product.product,printnode_base
project.project,industry_fsm_sale,project.project,project
project.task,industry_fsm_sale,project.task,project
project.task.recurrence,industry_fsm_sale,project.task.recurrence,project
res.config.settings,industry_fsm_sale,res.config.settings,base
sale.order,industry_fsm_sale,sale.order,printnode_base
sale.order.line,industry_fsm_sale,sale.order.line,sale
product.product,industry_fsm_sale,product.product,printnode_base
project.project,industry_fsm_sale,project.project,project
project.task,industry_fsm_sale,project.task,project
project.task.recurrence,industry_fsm_sale,project.task.recurrence,project
res.config.settings,industry_fsm_sale,res.config.settings,base
sale.order,industry_fsm_sale,sale.order,printnode_base
sale.order.line,industry_fsm_sale,sale.order.line,sale
product.template,industry_fsm_sale_report,product.template,printnode_base
sale.order.line,industry_fsm_sale_report,sale.order.line,sale
product.template,industry_fsm_sale_report,product.template,printnode_base
sale.order.line,industry_fsm_sale_report,sale.order.line,sale
product.product,industry_fsm_stock,product.product,printnode_base
project.task,industry_fsm_stock,project.task,project
sale.order.line,industry_fsm_stock,sale.order.line,sale
stock.move,industry_fsm_stock,stock.move,stock
product.product,industry_fsm_stock,product.product,printnode_base
project.task,industry_fsm_stock,project.task,project
sale.order.line,industry_fsm_stock,sale.order.line,sale
stock.move,industry_fsm_stock,stock.move,stock
ir.actions.report,iot,ir.actions.report,base
publisher_warranty.contract,iot,publisher_warranty.contract,mail
ir.actions.report,iot,ir.actions.report,base
publisher_warranty.contract,iot,publisher_warranty.contract,mail
account.journal,l10n_ar_edi,account.journal,account
account.move,l10n_ar_edi,account.move,printnode_base
product.template,l10n_ar_edi,product.template,printnode_base
res.company,l10n_ar_edi,res.company,hr_rfid
res.config.settings,l10n_ar_edi,res.config.settings,base
res.currency,l10n_ar_edi,res.currency,base
account.journal,l10n_ar_edi,account.journal,account
account.move,l10n_ar_edi,account.move,printnode_base
product.template,l10n_ar_edi,product.template,printnode_base
res.company,l10n_ar_edi,res.company,hr_rfid
res.config.settings,l10n_ar_edi,res.config.settings,base
res.currency,l10n_ar_edi,res.currency,base
account.batch.payment,l10n_au_aba,account.batch.payment,account_batch_payment
account.journal,l10n_au_aba,account.journal,account
account.journal,l10n_au_aba,account.journal,account
account.payment,l10n_au_aba,account.payment,account
res.partner.bank,l10n_au_aba,res.partner.bank,base
account.batch.payment,l10n_au_aba,account.batch.payment,account_batch_payment
account.journal,l10n_au_aba,account.journal,account
account.journal,l10n_au_aba,account.journal,account
account.payment,l10n_au_aba,account.payment,account
res.partner.bank,l10n_au_aba,res.partner.bank,base
account.move,l10n_au_keypay,account.move,printnode_base
account.account,l10n_au_keypay,account.account,account
res.company,l10n_au_keypay,res.company,hr_rfid
res.config.settings,l10n_au_keypay,res.config.settings,base
account.move,l10n_au_keypay,account.move,printnode_base
account.account,l10n_au_keypay,account.account,account
res.company,l10n_au_keypay,res.company,hr_rfid
res.config.settings,l10n_au_keypay,res.config.settings,base
account.bank.statement,l10n_be_coda,account.bank.statement,account
account.bank.statement.import,l10n_be_coda,account.bank.statement.import,account_bank_statement_import
account.journal,l10n_be_coda,account.journal,account
account.bank.statement.import,l10n_be_coda,account.bank.statement.import,account_bank_statement_import
account.bank.statement,l10n_be_coda,account.bank.statement,account
account.bank.statement.import,l10n_be_coda,account.bank.statement.import,account_bank_statement_import
account.journal,l10n_be_coda,account.journal,account
account.bank.statement.import,l10n_be_coda,account.bank.statement.import,account_bank_statement_import
hr.contract,l10n_be_hr_contract_salary,hr.contract,hr_contract
hr.employee,l10n_be_hr_contract_salary,hr.employee,hr
res.config.settings,l10n_be_hr_contract_salary,res.config.settings,base
generate.simulation.link,l10n_be_hr_contract_salary,generate.simulation.link,hr_contract_salary
hr.contract,l10n_be_hr_contract_salary,hr.contract,hr_contract
hr.employee,l10n_be_hr_contract_salary,hr.employee,hr
res.config.settings,l10n_be_hr_contract_salary,res.config.settings,base
generate.simulation.link,l10n_be_hr_contract_salary,generate.simulation.link,hr_contract_salary
hr.contract,l10n_be_hr_payroll,hr.contract,hr_contract
hr.employee,l10n_be_hr_payroll,hr.employee,hr
hr.payroll.structure.type,l10n_be_hr_payroll,hr.payroll.structure.type,hr_contract
hr.payslip,l10n_be_hr_payroll,hr.payslip,hr_payroll
hr.payslip.worked_days,l10n_be_hr_payroll,hr.payslip.worked_days,hr_payroll
hr.work.entry.type,l10n_be_hr_payroll,hr.work.entry.type,hr_work_entry
hr.work.entry,l10n_be_hr_payroll,hr.work.entry,hr_work_entry
res.company,l10n_be_hr_payroll,res.company,hr_rfid
res.config.settings,l10n_be_hr_payroll,res.config.settings,base
res.users,l10n_be_hr_payroll,res.users,base
hr.contract.employee.report,l10n_be_hr_payroll,hr.contract.employee.report,hr_contract_reports
hr.contract,l10n_be_hr_payroll,hr.contract,hr_contract
hr.employee,l10n_be_hr_payroll,hr.employee,hr
hr.payroll.structure.type,l10n_be_hr_payroll,hr.payroll.structure.type,hr_contract
hr.payslip,l10n_be_hr_payroll,hr.payslip,hr_payroll
hr.payslip.worked_days,l10n_be_hr_payroll,hr.payslip.worked_days,hr_payroll
hr.work.entry.type,l10n_be_hr_payroll,hr.work.entry.type,hr_work_entry
hr.work.entry,l10n_be_hr_payroll,hr.work.entry,hr_work_entry
res.company,l10n_be_hr_payroll,res.company,hr_rfid
res.config.settings,l10n_be_hr_payroll,res.config.settings,base
res.users,l10n_be_hr_payroll,res.users,base
hr.contract.employee.report,l10n_be_hr_payroll,hr.contract.employee.report,hr_contract_reports
hr.contract,l10n_be_hr_payroll_273S_274,hr.contract,hr_contract
hr.employee,l10n_be_hr_payroll_273S_274,hr.employee,hr
res.company,l10n_be_hr_payroll_273S_274,res.company,hr_rfid
res.config.settings,l10n_be_hr_payroll_273S_274,res.config.settings,base
hr.contract,l10n_be_hr_payroll_273S_274,hr.contract,hr_contract
hr.employee,l10n_be_hr_payroll_273S_274,hr.employee,hr
res.company,l10n_be_hr_payroll_273S_274,res.company,hr_rfid
res.config.settings,l10n_be_hr_payroll_273S_274,res.config.settings,base
res.company,l10n_be_hr_payroll_273S_274_account,res.company,hr_rfid
res.config.settings,l10n_be_hr_payroll_273S_274_account,res.config.settings,base
l10n.be.withholding.tax.exemption,l10n_be_hr_payroll_273S_274_account,l10n.be.withholding.tax.exemption,l10n_be_hr_payroll_273S_274
res.company,l10n_be_hr_payroll_273S_274_account,res.company,hr_rfid
res.config.settings,l10n_be_hr_payroll_273S_274_account,res.config.settings,base
l10n.be.withholding.tax.exemption,l10n_be_hr_payroll_273S_274_account,l10n.be.withholding.tax.exemption,l10n_be_hr_payroll_273S_274
account.chart.template,l10n_be_hr_payroll_account,account.chart.template,account
account.chart.template,l10n_be_hr_payroll_account,account.chart.template,account
fleet.vehicle,l10n_be_hr_payroll_fleet,fleet.vehicle,fleet
fleet.vehicle.log.contract,l10n_be_hr_payroll_fleet,fleet.vehicle.log.contract,fleet
fleet.vehicle.model,l10n_be_hr_payroll_fleet,fleet.vehicle.model,fleet
hr.contract,l10n_be_hr_payroll_fleet,hr.contract,hr_contract
l10n_be.dmfa,l10n_be_hr_payroll_fleet,l10n_be.dmfa,l10n_be_hr_payroll
hr.payslip,l10n_be_hr_payroll_fleet,hr.payslip,hr_payroll
res.config.settings,l10n_be_hr_payroll_fleet,res.config.settings,base
fleet.vehicle,l10n_be_hr_payroll_fleet,fleet.vehicle,fleet
fleet.vehicle.log.contract,l10n_be_hr_payroll_fleet,fleet.vehicle.log.contract,fleet
fleet.vehicle.model,l10n_be_hr_payroll_fleet,fleet.vehicle.model,fleet
hr.contract,l10n_be_hr_payroll_fleet,hr.contract,hr_contract
l10n_be.dmfa,l10n_be_hr_payroll_fleet,l10n_be.dmfa,l10n_be_hr_payroll
hr.payslip,l10n_be_hr_payroll_fleet,hr.payslip,hr_payroll
